No.	Country	tot_cases	total_deaths	total_recovered	total_tests
1	Afghanistan	970	1385	27681	100138
2	Albania	2769	238	3986	49172
3	Algeria	916	1411	28281	\N
4	Andorra	13250	53	875	137457
5	Angola	62	93	742	64747
6	Anguilla	200	\N	3	662
7	Antigua and Barbuda	959	3	89	1738
8	Argentina	7091	6517	233651	1030992
9	Armenia	14278	836	35476	190560
10	Aruba	12983	6	277	17669
11	Australia	949	463	17854	5507605
12	Austria	2710	729	21093	1061437
13	Azerbaijan	3424	510	32511	855802
14	Bahamas	4089	23	211	8449
15	Bahrain	28265	179	44628	1011805
16	Bangladesh	1746	3822	168991	1407556
17	Barbados	543	7	123	15028
18	Belarus	7403	627	67929	1437110
19	Belgium	6854	9969	18078	2049976
20	Belize	1518	5	38	5592
21	Benin	172	39	1705	107057
22	Bermuda	2667	9	147	36203
23	Bhutan	194	\N	105	66835
24	Bolivia	8983	4233	39965	222251
25	Bosnia and Herzegovina	5195	515	10881	168861
26	Botswana	555	3	136	93420
27	Brazil	16474	112423	2653407	1.37E+07
28	British Virgin Islands	364	1	8	1890
29	Brunei	326	3	139	49399
30	Bulgaria	2156	532	10087	358723
31	Burkina Faso	62	55	1034	\N
32	Burundi	35	1	336	19993
33	CAR	967	61	1755	30775
34	Cabo Verde	6049	37	2462	73900
35	Cambodia	16	\N	253	83626
36	Cameroon	705	408	16540	149000
37	Canada	3278	9054	110288	4974215
38	Caribbean Netherlands	495	\N	7	424
39	Cayman Islands	3114	1	202	33978
40	Chad	59	76	869	\N
41	Channel Islands	3521	48	545	68985
42	Chile	20474	10671	366063	2113632
43	China	59	4634	79745	9.04E+07
44	Colombia	10081	16183	339124	2374898
45	Comoros	478	7	396	\N
46	Congo	695	77	1625	\N
47	Costa Rica	6093	333	9939	126337
48	Croatia	1787	168	5472	144521
49	Cuba	315	88	2894	346439
50	Curaça	219	1	31	1080
51	Cyprus	1154	20	878	263943
52	Czechia	1965	406	15886	820151
53	DRC	109	247	8895	\N
54	Denmark	2771	621	13769	2075156
55	Diamond Princess	\N	13	651	\N
56	Djibouti	5429	59	5216	63471
57	Dominica	250	\N	18	1646
58	Dominican Republic	8194	1505	57734	335478
59	Ecuador	5968	6200	87660	297376
60	Egypt	946	5212	63462	135000
61	El Salvador	3692	640	11558	288307
62	Equatorial Guinea	3473	83	2713	49215
63	Eritrea	86	\N	274	\N
64	Estonia	1679	63	2009	138166
65	Eswatini	3538	81	2643	28380
66	Ethiopia	311	620	13536	694093
67	Faeroe Islands	7834	\N	274	80312
68	Falkland Islands	3722	\N	13	2256
69	Fiji	31	1	20	6693
70	Finland	1415	334	7100	517936
71	France	3520	30480	84065	6000000
72	French Guiana	29174	54	8189	48382
73	French Polynesia	751	\N	68	9912
74	Gabon	3726	53	6614	104420
75	Gambia	990	81	435	10781
76	Georgia	344	17	1108	315142
77	Germany	2759	9324	204800	1.02E+07
78	Ghana	1388	261	41276	431272
79	Gibraltar	6797	\N	200	28366
80	Greece	762	235	3804	816450
81	Greenland	247	\N	14	6446
82	Grenada	213	\N	24	6252
83	Guadeloupe	1275	15	289	23585
84	Guatemala	3674	2506	54351	213204
85	Guinea	674	53	7628	16975
86	Guinea-Bissau	1089	33	1015	1500
87	Guyana	1075	29	399	6502
88	Haiti	700	196	5447	21400
89	Honduras	5269	1608	7867	127946
90	Hong Kong	614	73	3827	780415
91	Hungary	523	609	3678	390079
92	Iceland	5973	10	1913	191690
93	India	2102	54975	2157941	3.27E+07
94	Indonesia	537	6418	100674	1969941
95	Iran	4190	20264	304236	2939840
96	Iraq	4779	6208	137200	1368727
97	Ireland	5596	1776	23364	735598
98	Isle of Man	3948	24	312	9423
99	Israel	10829	795	74579	2180096
100	Italy	4237	35418	204686	7790596
101	Ivory Coast	652	112	14611	117115
102	Jamaica	402	14	772	49215
103	Japan	463	1144	45266	1259422
104	Jordan	147	11	1261	720972
105	Kazakhstan	5520	1415	86450	2291327
106	Kenya	583	516	17869	398585
107	Kuwait	18407	509	70642	577588
108	Kyrgyzstan	6501	1498	35486	267718
109	Laos	3	\N	19	35428
110	Latvia	705	33	1093	232918
111	Lebanon	1606	113	3040	443709
112	Lesotho	464	30	423	12033
113	Liberia	253	82	803	\N
114	Libya	1410	173	1047	88492
115	Liechtenstein	2595	1	88	900
116	Lithuania	931	82	1747	594478
117	Luxembourg	12174	124	6903	706629
118	MS Zaandam	\N	2	\N	\N
119	Macao	71	\N	46	4071
120	Madagascar	509	177	13038	53954
121	Malawi	275	165	2883	41026
122	Malaysia	285	125	8932	1152140
123	Maldives	11757	24	3915	100233
124	Mali	131	125	1993	32716
125	Malta	3419	9	802	166348
126	Martinique	895	16	98	12227
127	Mauritania	1468	158	6123	68872
128	Mauritius	272	10	334	205285
129	Mayotte	11547	39	2964	13000
130	Mexico	4159	58481	367537	1211552
131	Moldova	7920	921	21885	183923
132	Monaco	3819	4	115	51953
133	Mongolia	91	\N	281	46332
134	Montenegro	6733	81	3186	44219
135	Montserrat	2604	1	12	61
136	Morocco	1289	775	32806	1670569
137	Mozambique	99	20	1380	82264
138	Myanmar	7	6	333	141044
139	Namibia	1929	41	2442	45744
140	Nepal	1015	126	17964	878622
141	Netherlands	3795	6191	0	1312787
142	New Caledonia	80	\N	22	11838
143	New Zealand	331	22	1531	657506
144	Nicaragua	650	133	2913	\N
145	Niger	48	69	1082	9052
146	Nigeria	246	992	37569	352625
147	North Macedonia	6333	554	9752	132493
148	Norway	1879	264	9150	588550
149	Oman	16350	609	78386	309212
150	Pakistan	1314	6209	272804	2363752
151	Palestine	3516	120	10682	214862
152	Panama	19393	1844	59174	287300
153	Papua New Guinea	40	4	198	14439
154	Paraguay	1654	170	6783	166110
155	Peru	17166	27034	380730	2852011
156	Philippines	1618	2881	113903	2193448
